id,name,Audience score,Price,Pace,Shock absorption,Energy return,Traction,Arch support,Weight Lab,Weight Brand,Lightweight,Drop Lab,Drop Brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel Lab,Heel Brand,Forefoot Lab,Forefoot Brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity
1,Nike Vomero Plus,92 Superb!,$180,Daily running,147 SA,67.10%,0.42,Neutral,289g,285g,N,9.6 mm,10.0 mm,HeelMid/forefoot,True to size,32.5 AC,6%,3/5,4/5,0.8 mm,3/5,94.6 mm,71.1 mm,19.8N,4/5,3/5,N,N,42.3 mm,45.0 mm,32.7 mm,35.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#16Top 5%,#4Top 2%
2,Hoka Bondi 9,89 Great!,"₩308,340",Daily running,146 SA,60.20%,0.45,Neutral,303g,297g,N,9.1 mm,5.0 mm,HeelMid/forefoot,True to size,43.0 AC,20%,4/5,5/5,0.9 mm,3/5,94.1 mm,72.5 mm,16.5N,4/5,3/5,N,Y,41.3 mm,43.0 mm,32.2 mm,38.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#97Top 25%,#1Top 1%
3,Adidas Adizero EVO SL,93 Superb!,"₩256,950",Daily running/Tempo,147 SA,74.30%,0.4,Neutral,223g,224g,Y,8.0 mm,6.5 mm,HeelMid/forefoot,True to size,43.5 AC,13%,1/5,5/5,0.6 mm,5/5,97.5 mm,71.6 mm,9.8N,4/5,3/5,N,Y,36.1 mm,38.5 mm,28.1 mm,32.0 mm,Normal/Wide,Y,Summer/All seasons,Y,#4Top 2%,#11Top 3%
4,ASICS Novablast 5,92 Superb!,"₩257,060",Daily running/Tempo,141 SA,63.60%,0.53,Neutral,254g,255g,N,7.4 mm,8.0 mm,Mid/forefoot,True to size,30.3 AC,42%,1/5,3/5,0.9 mm,3/5,97.5 mm,74.4 mm,11.2N,4/5,3/5,N,Y,40.9 mm,41.5 mm,33.5 mm,33.5 mm,Normal/Wide,Y,All seasons,Y,#10Top 3%,#6Top 2%
5,Nike Vomero 18,91 Superb!,"₩257,060",Daily running,147 SA,56.90%,0.38,Neutral,298g,325g,N,13.9 mm,10.0 mm,Heel,True to size,30.5 AC,13%,3/5,5/5,1.1 mm,3/5,95.6 mm,69.6 mm,16.0N,4/5,3/5,N,Y,42.5 mm,45.0 mm,28.6 mm,35.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#23Top 6%,#7Top 2%
6,Hoka Clifton 10,88 Great!,$150,Daily running,147 SA,52.30%,0.49,Neutral,275g,277g,N,12.4 mm,8.0 mm,Heel,True to size,34.2 AC,19%,4/5,5/5,1.0 mm,3/5,97.2 mm,73.1 mm,14.7N,5/5,3/5,N,Y,44.4 mm,42.0 mm,32.0 mm,34.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#119Top 31%,#2Top 1%
7,New Balance Fresh Foam X More v6,88 Great!,"₩291,330",Daily running,152 SA,60.10%,0.44,Neutral,302g,306g,N,3.3 mm,4.0 mm,Mid/forefoot,True to size,27.5 AC,68%,3/5,4/5,0.8 mm,2/5,93.5 mm,71.3 mm,17.7N,3/5,3/5,N,N,41.8 mm,44.0 mm,38.5 mm,40.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#126Top 33%,#3Top 1%
8,Nike Vomero Premium,90 Superb!,"₩394,160",Daily running,173 SA,63.30%,0.51,Neutral,326g,351g,N,8.8 mm,10.0 mm,HeelMid/forefoot,True to size,34.5 AC,24%,3/5,5/5,0.7 mm,3/5,94.6 mm,68.6 mm,21.5N,5/5,4/5,N,Y,50.1 mm,55.0 mm,41.3 mm,45.0 mm,Normal/,Y,All seasons,Y,#34Top 9%,#8Top 3%
9,Brooks Glycerin Max,89 Great!,"₩342,600",Daily running,148 SA,52.00%,‐,Neutral,305g,309g,N,6.6 mm,6.0 mm,Mid/forefoot,True to size,31.9 AC,17%,3/5,4/5,1.2 mm,5/5,94.5 mm,74.3 mm,18.3N,4/5,3/5,N,Y,42.3 mm,47.0 mm,35.7 mm,41.0 mm,Normal/,Y,Summer/All seasons,Y,#102Top 27%,#9Top 3%
10,Nike Pegasus 41,88 Great!,"₩239,920",Daily running,125 SA,55.50%,0.25,Neutral,281g,283g,N,11.4 mm,10.0 mm,Heel,True to size,35.2 AC,37%,3/5,4/5,0.9 mm,4/5,94.6 mm,72.9 mm,9.4N,2/5,4/5,N,N,33.6 mm,37.0 mm,22.2 mm,27.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#120Top 31%,#10Top 3%
11,New Balance Fresh Foam X More v5,87 Great!,$155,Daily running,156 SA,53.60%,0.55,Neutral,308g,303g,N,7.8 mm,4.0 mm,Mid/forefoot,Slightly small,25.9 AC,37%,3/5,3/5,0.7 mm,5/5,93.2 mm,70.7 mm,18.1N,4/5,4/5,N,Y,42.1 mm,43.0 mm,34.3 mm,39.0 mm,Normal/Wide/X-Wide,Y,Summer/All seasons,Y,#310Top 45%,#6Top 1%
12,Brooks Ghost Max,91 Superb!,"₩274,200",Daily running,137 SA,55.40%,0.48,Neutral,291g,286g,N,9.5 mm,6.0 mm,HeelMid/forefoot,True to size,28.0 AC,50%,1/5,4/5,0.5 mm,4/5,91.9 mm,75.9 mm,21.3N,4/5,4/5,N,Y,39.8 mm,38.0 mm,30.3 mm,32.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#30Top 5%,#24Top 4%
13,Hoka Clifton 9,86 Good!,"₩257,060",Daily running,127 SA,53.00%,0.33,Neutral,249g,249g,Y,6.1 mm,5.0 mm,Mid/forefoot,True to size,40.5 AC,18%,‐,‐,‐,3/5,92.2 mm,68.9 mm,17.7N,4/5,5/5,N,Y,32.7 mm,32.0 mm,26.6 mm,27.0 mm,NarrowNormal/Wide,Y,All seasons,Y,#399Bottom 42%,#5Top 1%
14,New Balance Fresh Foam X 1080 v14,86 Good!,"₩325,610",Daily running,142 SA,58.00%,0.52,Neutral,285g,298g,N,4.2 mm,6.0 mm,Mid/forefoot,True to size,28.5 AC,26%,4/5,3/5,0.6 mm,4/5,95.4 mm,69.8 mm,15.8N,4/5,4/5,N,Y,37.0 mm,38.0 mm,32.8 mm,32.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#376Bottom 46%,#7Top 2%
15,Nike Vaporfly 4,91 Superb!,"₩445,570",Competition,137 SA,78.10%,0.45,Neutral,166g,184g,Y,8.6 mm,6.0 mm,Mid/forefoot,True to size,34.7 AC,1%,4/5,3/5,8.6 mm,4/5,91.7 mm,73.2 mm,18.0N,4/5,2/5,Carbon plate,N,34.1 mm,35.0 mm,25.5 mm,29.0 mm,Normal/Wide,Y,All seasons,Y,#32Top 9%,#20Top 6%
16,Brooks Adrenaline GTS 24,85 Good!,$140,Daily running,121 SA,54.60%,0.48,Stability,291g,283g,N,13.5 mm,12.0 mm,Heel,Slightly small,44.1 AC,24%,3/5,4/5,0.8 mm,4/5,95.1 mm,73.7 mm,10.1N,4/5,4/5,N,N,39.0 mm,39.0 mm,25.5 mm,27.0 mm,NarrowNormal/Wide/X-Wide,Y,All seasons,Y,#210Bottom 46%,#5Top 2%
17,Brooks Glycerin 22,87 Great!,"₩308,470",Daily running,133 SA,54.80%,0.44,Neutral,293g,289g,N,10.3 mm,10.0 mm,Heel,Slightly small,30.0 AC,33%,3/5,4/5,0.5 mm,5/5,96.3 mm,73.7 mm,15.0N,4/5,3/5,N,N,38.5 mm,38.0 mm,28.2 mm,28.0 mm,Normal/Wide/X-Wide,Y,Summer/All seasons,Y,#152Top 40%,#12Top 4%
18,Nike Zoom Fly 6,91 Superb!,"₩291,330",Tempo,144 SA,61.00%,0.42,Neutral,248g,244g,Y,9.6 mm,8.0 mm,HeelMid/forefoot,True to size,36.5 AC,6%,5/5,5/5,0.8 mm,3/5,90.9 mm,72.6 mm,21.5N,5/5,4/5,Carbon plate,Y,39.7 mm,40.0 mm,30.1 mm,32.0 mm,Normal/Wide,Y,All seasons,Y,#24Top 7%,#25Top 7%
19,ASICS Superblast 2,90 Superb!,"₩376,860",Daily running/Tempo,130 SA,65.40%,0.83,Neutral,252g,250g,N,8.2 mm,8.0 mm,HeelMid/forefoot,True to size,35.2 AC,8%,4/5,4/5,0.5 mm,5/5,94.7 mm,72.3 mm,18.4N,5/5,3/5,N,Y,42.8 mm,45.0 mm,34.6 mm,37.0 mm,Normal/Wide,Y,Summer/All seasons,Y,#72Top 19%,#23Top 6%
20,Hoka Mach 6,87 Great!,"₩274,200",Daily running,135 SA,65.40%,0.49,Neutral,232g,235g,Y,9.6 mm,5.0 mm,HeelMid/forefoot,True to size,39.5 AC,42%,2/5,1/5,0.6 mm,5/5,95.5 mm,70.1 mm,13.7N,4/5,4/5,N,Y,36.0 mm,37.0 mm,26.4 mm,32.0 mm,Normal/Wide,Y,Summer/All seasons,Y,#169Top 44%,#14Top 4%
21,On Cloudmonster,91 Superb!,$170,Daily running,135 SA,57.00%,0.46,Neutral,280g,274g,N,6.8 mm,6.0 mm,Mid/forefoot,Slightly small,47.5 AC,37%,‐,‐,‐,5/5,91.9 mm,‐,17.0N,3/5,1/5,N,Y,34.9 mm,30.0 mm,28.1 mm,24.0 mm,Normal/,Y,Summer/All seasons,Y,#54Top 8%,#41Top 6%
22,ASICS Gel Nimbus 27,86 Good!,"₩342,750",Daily running,136 SA,47.70%,0.84,Neutral,299g,305g,N,8.3 mm,8.0 mm,HeelMid/forefoot,True to size,39.3 AC,19%,3/5,5/5,0.8 mm,4/5,97.0 mm,73.8 mm,20.2N,5/5,4/5,N,Y,42.7 mm,44.0 mm,34.4 mm,36.0 mm,Normal/Wide/X-Wide,Y,All seasons,Y,#384Bottom 45%,#18Top 3%
23,Adidas Adizero Adios Pro 4,93 Superb!,"₩428,430",Competition,142 SA,80.40%,0.55,Neutral,200g,201g,Y,8.1 mm,6.0 mm,Mid/forefoot,Slightly small,29.3 AC,7%,1/5,5/5,0.8 mm,2/5,93.2 mm,69.5 mm,22.7N,4/5,1/5,Carbon plate,Y,36.6 mm,39.0 mm,28.5 mm,33.0 mm,Normal/Wide,Y,All seasons,Y,#3Top 1%,#51Top 14%
24,Nike Alphafly 3,88 Great!,"₩531,250",Competition,144 SA,74.90%,0.4,Neutral,201g,198g,Y,8.5 mm,8.0 mm,HeelMid/forefoot,Slightly small,34.5 AC,17%,1/5,5/5,3.2 mm,5/5,93.3 mm,75.3 mm,28.4N,4/5,1/5,Carbon plate,Y,38.1 mm,40.0 mm,29.6 mm,32.0 mm,Normal/,N,Summer/All seasons,N,#122Top 32%,#21Top 6%
25,Hoka Bondi 8,84 Good!,$165,Daily running,125 SA,51.00%,‐,Neutral,311g,311g,N,6.2 mm,4.0 mm,Mid/forefoot,True to size,41.5 AC,49%,‐,‐,‐,3/5,92.2 mm,69.2 mm,17.7N,4/5,3/5,N,Y,36.2 mm,39.0 mm,30.0 mm,35.0 mm,Normal/Wide,Y,All seasons,Y,#488Bottom 30%,#15Top 3%
26,New Balance FuelCell Rebel v5,90 Superb!,"₩274,200",Daily running/Tempo,145 SA,59.80%,0.5,Neutral,220g,225g,Y,6.3 mm,6.0 mm,Mid/forefoot,True to size,25.9 AC,17%,1/5,4/5,0.8 mm,3/5,96.1 mm,75.0 mm,11.7N,2/5,3/5,N,Y,33.0 mm,35.0 mm,26.7 mm,29.0 mm,Normal/Wide,Y,All seasons,Y,#43Top 12%,#30Top 8%
27,New Balance FuelCell SuperComp Elite v5,90 Superb!,"₩479,840",Competition,144 SA,74.80%,0.61,Neutral,198g,213g,Y,10.7 mm,8.0 mm,Heel,True to size,33.8 AC,9%,1/5,3/5,1.1 mm,4/5,93.8 mm,74.5 mm,16.2N,4/5,2/5,Carbon plate,Y,39.3 mm,40.0 mm,28.6 mm,32.0 mm,Normal/Wide,Y,All seasons,Y,#57Top 15%,#31Top 8%
28,On Cloudmonster 2,89 Great!,"₩325,610",Daily running,137 SA,56.50%,0.5,Neutral,292g,295g,N,6.6 mm,6.0 mm,Mid/forefoot,Slightly large,49.6 AC,19%,5/5,3/5,0.8 mm,2/5,98.5 mm,74.5 mm,17.9N,3/5,3/5,N,Y,37.9 mm,35.0 mm,31.3 mm,29.0 mm,Normal/,Y,All seasons,Y,#101Top 26%,#27Top 7%
29,PUMA Velocity Nitro 4,92 Superb!,$140,Daily runningTempo,136 SA,67.50%,0.65,Neutral,224g,245g,Y,9.7 mm,10.0 mm,HeelMid/forefoot,True to size,41.8 AC,41%,3/5,3/5,1.1 mm,3/5,93.0 mm,71.6 mm,8.9N,2/5,3/5,N,N,33.7 mm,36.0 mm,24.0 mm,26.0 mm,Normal/Wide,Y,All seasons,Y,#6Top 2%,#56Top 15%
30,Brooks Ghost Max 2,85 Good!,"₩274,200",Daily running,138 SA,58.90%,0.51,Neutral,305g,309g,N,9.9 mm,6.0 mm,HeelMid/forefoot,True to size,39.2 AC,36%,3/5,4/5,0.8 mm,5/5,96.5 mm,71.0 mm,20.0N,4/5,4/5,N,N,39.0 mm,39.0 mm,29.1 mm,33.0 mm,Normal/Wide/X-Wide,Y,Summer/All seasons,Y,#449Bottom 35%,#22Top 4%
